DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,FL,"1,487","$65,029.96 ","$11,734.70 ","$10,472.60 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,TX,"1,488","$58,615.45 ","$12,500.16 ","$10,458.72 "
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,CA,"1,687","$86,789.67 ","$16,342.86 ","$14,873.25 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,AK,33,"$32,930.79 ","$11,761.03 ","$10,761.03 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,HI,34,"$29,411.71 ","$11,765.18 ","$10,192.18 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,VT,57,"$21,992.75 ","$10,484.23 ","$8,538.49 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,MT,58,"$16,332.64 ","$7,302.03 ","$6,418.71 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,WY,63,"$23,012.29 ","$10,027.67 ","$8,731.38 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,DC,84,"$33,243.42 ","$9,949.68 ","$7,386.39 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,ID,84,"$23,735.73 ","$7,295.04 ","$6,413.60 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,ND,100,"$18,407.36 ","$7,981.93 ","$6,440.64 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,UT,109,"$21,684.28 ","$7,845.95 ","$6,381.33 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,RI,113,"$24,896.09 ","$8,926.59 ","$7,664.18 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,DE,137,"$22,862.76 ","$8,452.22 ","$6,919.60 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,SD,137,"$25,366.34 ","$7,948.86 ","$6,829.74 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,ME,145,"$20,721.76 ","$8,207.28 ","$7,066.00 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,NM,147,"$24,628.22 ","$8,814.12 ","$7,520.85 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,NE,169,"$24,827.71 ","$7,877.27 ","$6,131.21 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,NH,180,"$19,960.90 ","$7,507.39 ","$6,284.08 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,WV,216,"$18,849.81 ","$7,517.40 ","$6,013.03 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,NV,217,"$49,003.68 ","$8,220.96 ","$6,924.73 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,OR,228,"$23,343.64 ","$8,996.05 ","$7,476.15 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,KS,282,"$31,577.68 ","$7,065.46 ","$6,088.70 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,CO,336,"$35,114.29 ","$7,914.06 ","$6,673.68 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,IA,357,"$19,939.25 ","$7,211.52 ","$6,246.76 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,AR,372,"$20,052.02 ","$6,788.46 ","$5,577.03 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,OK,396,"$28,522.28 ","$7,412.93 ","$6,209.42 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,CT,419,"$27,824.03 ","$10,000.12 ","$8,337.25 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,LA,427,"$24,984.84 ","$7,173.71 ","$5,940.03 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,MS,429,"$28,456.96 ","$6,764.38 ","$5,669.79 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,WA,433,"$31,048.92 ","$8,654.45 ","$7,275.76 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,WI,468,"$22,934.02 ","$7,661.05 ","$6,499.87 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,SC,508,"$31,265.16 ","$7,437.51 ","$6,107.16 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,MN,524,"$20,820.20 ","$8,757.09 ","$7,167.71 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,AL,626,"$29,637.73 ","$6,555.23 ","$5,432.87 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,KY,645,"$22,408.07 ","$7,219.00 ","$6,093.93 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,AZ,657,"$35,078.76 ","$8,193.44 ","$7,101.27 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,MO,771,"$26,623.77 ","$7,009.69 ","$6,067.67 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,TN,773,"$25,188.98 ","$6,782.42 ","$5,642.82 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,GA,786,"$27,128.48 ","$7,424.75 ","$6,287.55 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,IN,789,"$24,536.11 ","$7,312.60 ","$6,167.92 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,MD,803,"$10,895.99 ","$10,075.00 ","$9,239.55 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,VA,890,"$23,899.26 ","$7,529.95 ","$6,053.20 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,NC,"1,032","$22,492.46 ","$7,851.11 ","$6,205.43 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,NJ,"1,064","$60,459.18 ","$8,957.61 ","$7,534.30 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,MI,"1,069","$20,637.60 ","$8,149.30 ","$6,860.36 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,MA,"1,071","$17,654.36 ","$9,502.98 ","$8,249.35 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,OH,"1,135","$23,628.26 ","$7,793.50 ","$6,218.13 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,PA,"1,396","$34,929.89 ","$8,186.28 ","$6,330.46 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,NY,"1,409","$38,808.03 ","$10,385.87 ","$8,767.68 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,IL,"1,497","$29,991.07 ","$8,018.43 ","$6,513.17 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,TX,"2,053","$37,126.60 ","$7,723.04 ","$6,185.21 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,CA,"2,229","$61,044.76 ","$10,641.41 ","$9,107.54 "
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,FL,"2,641","$42,591.05 ","$7,243.63 ","$6,200.85 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,MT,16,"$15,174.94 ","$5,162.19 ","$4,332.06 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,WY,16,"$18,346.75 ","$6,726.50 ","$5,142.31 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,VT,17,"$16,026.82 ","$6,978.65 ","$5,867.35 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,DC,21,"$23,424.19 ","$6,434.95 ","$4,753.14 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,ND,21,"$17,904.95 ","$5,512.67 ","$4,366.67 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,SD,27,"$18,827.44 ","$5,653.26 ","$4,235.37 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,UT,29,"$13,874.28 ","$5,659.00 ","$4,378.21 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,DE,33,"$14,439.88 ","$6,301.30 ","$4,324.09 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,ID,36,"$16,642.06 ","$5,704.81 ","$4,407.92 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,ME,36,"$13,149.86 ","$5,438.03 ","$4,498.14 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,RI,37,"$18,781.54 ","$6,309.65 ","$4,907.65 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,NE,43,"$17,760.51 ","$5,671.26 ","$3,984.35 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,NM,43,"$20,051.37 ","$6,638.42 ","$5,164.63 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,NH,45,"$18,795.27 ","$6,349.38 ","$4,154.51 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,OR,59,"$17,406.93 ","$6,419.08 ","$5,175.03 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,NV,69,"$50,291.07 ","$6,540.58 ","$4,744.49 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,WV,79,"$13,744.47 ","$5,233.63 ","$4,105.65 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,CO,92,"$25,978.43 ","$5,579.12 ","$4,377.74 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,KS,92,"$22,065.07 ","$5,296.33 ","$4,194.13 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,IA,95,"$14,697.11 ","$5,225.04 ","$4,097.24 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,WA,102,"$21,248.14 ","$6,102.64 ","$4,799.05 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,CT,109,"$20,978.56 ","$6,914.71 ","$5,191.06 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,MN,114,"$14,960.32 ","$6,100.03 ","$4,859.72 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,AR,117,"$16,689.03 ","$4,885.49 ","$3,735.03 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,MS,125,"$18,763.89 ","$4,952.34 ","$3,857.41 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,OK,125,"$18,459.10 ","$5,385.47 ","$4,239.57 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,LA,131,"$18,676.78 ","$5,260.12 ","$4,120.11 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,WI,133,"$17,504.73 ","$5,666.32 ","$4,235.62 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,SC,159,"$23,268.43 ","$5,414.22 ","$4,028.25 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,KY,169,"$16,818.42 ","$5,244.08 ","$4,066.15 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,AZ,201,"$28,117.03 ","$6,018.72 ","$4,966.85 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,IN,201,"$19,441.42 ","$5,420.00 ","$4,115.29 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,GA,207,"$20,454.29 ","$5,315.54 ","$4,353.85 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,MD,212,"$8,709.00 ","$8,048.76 ","$7,227.07 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,MI,221,"$14,962.26 ","$5,966.42 ","$4,706.62 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,AL,225,"$24,038.93 ","$4,820.11 ","$3,526.63 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,TN,226,"$19,891.62 ","$5,145.14 ","$3,945.34 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,NC,245,"$16,598.29 ","$5,713.21 ","$4,132.79 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,VA,245,"$18,816.80 ","$5,554.94 ","$3,964.98 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,MO,254,"$22,497.15 ","$4,995.28 ","$4,045.20 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,NJ,298,"$43,565.40 ","$6,464.14 ","$4,977.51 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,OH,299,"$16,859.72 ","$5,499.61 ","$4,163.45 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,MA,319,"$12,361.63 ","$6,541.18 ","$5,572.56 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,PA,378,"$26,979.78 ","$6,035.15 ","$4,683.57 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,IL,383,"$23,170.39 ","$5,753.60 ","$4,406.66 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,NY,485,"$26,953.88 ","$7,320.48 ","$5,880.89 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,CA,541,"$43,264.81 ","$7,715.43 ","$6,393.83 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,TX,590,"$28,537.66 ","$5,759.67 ","$4,272.86 "
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,FL,814,"$30,922.00 ","$5,325.67 ","$4,150.99 "
374 - DIGESTIVE MALIGNANCY W MCC,VT,16,"$22,254.81 ","$17,600.75 ","$16,480.38 "
374 - DIGESTIVE MALIGNANCY W MCC,ID,17,"$38,747.06 ","$13,147.65 ","$12,334.76 "
374 - DIGESTIVE MALIGNANCY W MCC,MT,24,"$38,420.50 ","$15,040.54 ","$14,006.96 "
374 - DIGESTIVE MALIGNANCY W MCC,ND,25,"$42,249.08 ","$15,229.72 ","$11,877.20 "
374 - DIGESTIVE MALIGNANCY W MCC,SD,26,"$34,487.35 ","$14,964.12 ","$12,550.88 "
374 - DIGESTIVE MALIGNANCY W MCC,UT,27,"$37,963.37 ","$14,668.89 ","$12,362.19 "
374 - DIGESTIVE MALIGNANCY W MCC,HI,28,"$35,513.50 ","$21,125.11 ","$19,493.21 "
374 - DIGESTIVE MALIGNANCY W MCC,RI,34,"$37,316.53 ","$16,914.79 ","$15,003.18 "
374 - DIGESTIVE MALIGNANCY W MCC,DE,36,"$41,321.56 ","$17,347.42 ","$11,903.89 "
374 - DIGESTIVE MALIGNANCY W MCC,ME,36,"$30,742.89 ","$14,401.28 ","$12,333.31 "
374 - DIGESTIVE MALIGNANCY W MCC,NH,43,"$39,965.67 ","$14,725.19 ","$13,078.19 "
374 - DIGESTIVE MALIGNANCY W MCC,NM,50,"$45,115.92 ","$16,444.16 ","$12,844.30 "
374 - DIGESTIVE MALIGNANCY W MCC,WV,54,"$42,918.65 ","$14,034.43 ","$12,030.89 "
374 - DIGESTIVE MALIGNANCY W MCC,DC,55,"$93,349.11 ","$24,346.25 ","$16,773.91 "
374 - DIGESTIVE MALIGNANCY W MCC,NE,56,"$48,508.34 ","$13,318.91 ","$12,229.04 "
374 - DIGESTIVE MALIGNANCY W MCC,KS,57,"$60,580.56 ","$12,702.58 ","$11,892.79 "
374 - DIGESTIVE MALIGNANCY W MCC,NV,57,"$91,306.63 ","$15,402.32 ","$13,814.26 "
374 - DIGESTIVE MALIGNANCY W MCC,CO,80,"$78,792.99 ","$15,213.59 ","$13,232.16 "
374 - DIGESTIVE MALIGNANCY W MCC,AR,83,"$43,438.43 ","$12,611.18 ","$10,528.64 "
374 - DIGESTIVE MALIGNANCY W MCC,OR,86,"$43,819.45 ","$17,188.27 ","$15,594.15 "
374 - DIGESTIVE MALIGNANCY W MCC,IA,90,"$50,087.71 ","$16,550.29 ","$13,070.72 "
374 - DIGESTIVE MALIGNANCY W MCC,OK,92,"$60,131.30 ","$14,138.53 ","$12,629.68 "
374 - DIGESTIVE MALIGNANCY W MCC,MS,100,"$46,196.06 ","$11,886.08 ","$10,801.68 "
374 - DIGESTIVE MALIGNANCY W MCC,AZ,115,"$57,983.41 ","$14,205.82 ","$13,064.40 "
374 - DIGESTIVE MALIGNANCY W MCC,AL,118,"$63,421.92 ","$12,048.18 ","$10,747.69 "
374 - DIGESTIVE MALIGNANCY W MCC,SC,122,"$52,899.50 ","$14,295.27 ","$11,842.79 "
374 - DIGESTIVE MALIGNANCY W MCC,LA,126,"$44,274.06 ","$12,818.87 ","$10,971.75 "
374 - DIGESTIVE MALIGNANCY W MCC,KY,137,"$51,134.21 ","$14,463.55 ","$12,238.58 "
374 - DIGESTIVE MALIGNANCY W MCC,CT,144,"$52,972.24 ","$18,433.88 ","$15,588.69 "
374 - DIGESTIVE MALIGNANCY W MCC,WI,166,"$41,040.93 ","$15,359.68 ","$12,193.43 "
374 - DIGESTIVE MALIGNANCY W MCC,TN,174,"$53,107.65 ","$12,796.63 ","$11,087.37 "
374 - DIGESTIVE MALIGNANCY W MCC,MN,175,"$39,554.70 ","$17,090.91 ","$13,875.91 "
374 - DIGESTIVE MALIGNANCY W MCC,IN,191,"$49,657.97 ","$14,218.87 ","$11,918.52 "
374 - DIGESTIVE MALIGNANCY W MCC,WA,207,"$55,795.19 ","$15,898.15 ","$14,456.45 "
374 - DIGESTIVE MALIGNANCY W MCC,MD,218,"$28,463.30 ","$26,247.25 ","$24,899.29 "
374 - DIGESTIVE MALIGNANCY W MCC,MO,224,"$44,162.91 ","$12,962.30 ","$11,584.88 "
374 - DIGESTIVE MALIGNANCY W MCC,GA,232,"$50,610.17 ","$13,793.20 ","$12,423.28 "
374 - DIGESTIVE MALIGNANCY W MCC,VA,292,"$44,518.96 ","$13,734.96 ","$11,311.37 "
374 - DIGESTIVE MALIGNANCY W MCC,MA,319,"$39,211.85 ","$18,244.92 ","$16,103.98 "
374 - DIGESTIVE MALIGNANCY W MCC,NC,333,"$42,876.09 ","$14,435.00 ","$11,913.69 "
374 - DIGESTIVE MALIGNANCY W MCC,OH,351,"$46,137.85 ","$13,826.98 ","$11,500.60 "
374 - DIGESTIVE MALIGNANCY W MCC,MI,362,"$36,237.55 ","$14,963.90 ","$13,243.70 "
374 - DIGESTIVE MALIGNANCY W MCC,PA,382,"$81,173.34 ","$16,646.73 ","$12,942.38 "
374 - DIGESTIVE MALIGNANCY W MCC,NJ,426,"$103,366.05 ","$16,592.02 ","$14,553.05 "
374 - DIGESTIVE MALIGNANCY W MCC,IL,497,"$60,141.80 ","$15,014.86 ","$13,155.94 "
374 - DIGESTIVE MALIGNANCY W MCC,TX,530,"$67,876.96 ","$13,743.04 ","$11,833.17 "
374 - DIGESTIVE MALIGNANCY W MCC,FL,538,"$75,540.73 ","$13,745.36 ","$11,838.53 "
374 - DIGESTIVE MALIGNANCY W MCC,NY,725,"$78,111.49 ","$21,435.00 ","$18,298.30 "
374 - DIGESTIVE MALIGNANCY W MCC,CA,922,"$109,721.96 ","$21,358.13 ","$18,650.93 "
375 - DIGESTIVE MALIGNANCY W CC,HI,25,"$27,416.24 ","$12,926.32 ","$9,284.36 "
375 - DIGESTIVE MALIGNANCY W CC,VT,27,"$25,461.15 ","$11,878.30 ","$9,653.07 "
375 - DIGESTIVE MALIGNANCY W CC,ID,34,"$25,745.85 ","$8,518.38 ","$7,701.82 "
375 - DIGESTIVE MALIGNANCY W CC,ND,40,"$28,663.68 ","$9,012.03 ","$7,032.83 "
375 - DIGESTIVE MALIGNANCY W CC,UT,42,"$24,652.31 ","$8,696.36 ","$6,925.52 "
375 - DIGESTIVE MALIGNANCY W CC,MT,44,"$24,412.55 ","$7,975.55 ","$6,936.52 "
375 - DIGESTIVE MALIGNANCY W CC,SD,46,"$34,176.11 ","$8,844.57 ","$7,577.37 "
375 - DIGESTIVE MALIGNANCY W CC,RI,48,"$30,522.31 ","$10,936.65 ","$9,765.98 "
375 - DIGESTIVE MALIGNANCY W CC,NM,49,"$29,006.35 ","$9,561.57 ","$8,003.06 "
375 - DIGESTIVE MALIGNANCY W CC,DE,64,"$28,120.30 ","$10,405.53 ","$7,209.92 "
375 - DIGESTIVE MALIGNANCY W CC,NE,65,"$30,484.37 ","$8,264.78 ","$7,006.49 "
375 - DIGESTIVE MALIGNANCY W CC,DC,72,"$41,153.79 ","$11,858.06 ","$9,481.58 "
375 - DIGESTIVE MALIGNANCY W CC,NH,72,"$25,632.79 ","$9,106.17 ","$7,740.43 "
375 - DIGESTIVE MALIGNANCY W CC,ME,73,"$21,738.92 ","$8,379.37 ","$6,831.67 "
375 - DIGESTIVE MALIGNANCY W CC,NV,79,"$59,905.73 ","$10,023.04 ","$8,272.91 "
375 - DIGESTIVE MALIGNANCY W CC,OR,86,"$27,846.99 ","$10,369.15 ","$8,082.78 "
375 - DIGESTIVE MALIGNANCY W CC,WV,95,"$24,494.59 ","$8,595.06 ","$6,689.22 "
375 - DIGESTIVE MALIGNANCY W CC,KS,107,"$39,789.28 ","$7,772.68 ","$6,677.69 "
375 - DIGESTIVE MALIGNANCY W CC,OK,109,"$34,954.48 ","$8,732.28 ","$7,029.33 "
375 - DIGESTIVE MALIGNANCY W CC,CO,123,"$41,402.05 ","$8,995.34 ","$7,085.93 "
375 - DIGESTIVE MALIGNANCY W CC,AR,130,"$29,401.14 ","$7,825.67 ","$6,483.84 "
375 - DIGESTIVE MALIGNANCY W CC,IA,134,"$29,800.96 ","$8,409.60 ","$6,868.16 "
375 - DIGESTIVE MALIGNANCY W CC,MS,153,"$34,167.46 ","$7,880.21 ","$6,540.29 "
375 - DIGESTIVE MALIGNANCY W CC,LA,186,"$30,491.37 ","$8,149.67 ","$6,655.85 "
375 - DIGESTIVE MALIGNANCY W CC,AZ,191,"$39,441.54 ","$9,110.82 ","$7,507.85 "
375 - DIGESTIVE MALIGNANCY W CC,WI,193,"$27,017.91 ","$8,502.59 ","$6,959.85 "
375 - DIGESTIVE MALIGNANCY W CC,KY,218,"$28,707.34 ","$8,536.67 ","$6,633.43 "
375 - DIGESTIVE MALIGNANCY W CC,SC,224,"$36,339.43 ","$8,417.14 ","$6,640.76 "
375 - DIGESTIVE MALIGNANCY W CC,CT,226,"$36,691.41 ","$10,896.73 ","$9,236.67 "
375 - DIGESTIVE MALIGNANCY W CC,AL,235,"$40,782.10 ","$7,651.20 ","$5,704.39 "
375 - DIGESTIVE MALIGNANCY W CC,MN,238,"$26,099.78 ","$9,865.33 ","$8,221.29 "
375 - DIGESTIVE MALIGNANCY W CC,WA,246,"$36,817.48 ","$9,986.38 ","$8,519.58 "
375 - DIGESTIVE MALIGNANCY W CC,MO,261,"$33,027.46 ","$8,109.38 ","$6,842.51 "
375 - DIGESTIVE MALIGNANCY W CC,TN,297,"$32,223.08 ","$7,823.22 ","$6,595.47 "
375 - DIGESTIVE MALIGNANCY W CC,GA,309,"$37,155.56 ","$8,565.39 ","$6,833.44 "
375 - DIGESTIVE MALIGNANCY W CC,IN,318,"$33,517.84 ","$8,323.06 ","$7,027.64 "
375 - DIGESTIVE MALIGNANCY W CC,MD,373,"$14,145.09 ","$13,085.88 ","$11,955.14 "
375 - DIGESTIVE MALIGNANCY W CC,VA,386,"$34,108.94 ","$8,917.31 ","$6,708.73 "
375 - DIGESTIVE MALIGNANCY W CC,NC,428,"$28,080.29 ","$9,140.83 ","$7,159.78 "
375 - DIGESTIVE MALIGNANCY W CC,MI,454,"$27,413.48 ","$9,395.06 ","$7,746.20 "
375 - DIGESTIVE MALIGNANCY W CC,OH,458,"$30,957.04 ","$8,841.91 ","$6,856.06 "
375 - DIGESTIVE MALIGNANCY W CC,MA,527,"$26,039.05 ","$11,421.73 ","$9,386.48 "
375 - DIGESTIVE MALIGNANCY W CC,NJ,669,"$66,565.91 ","$10,029.47 ","$8,196.45 "
375 - DIGESTIVE MALIGNANCY W CC,PA,696,"$45,682.07 ","$9,571.61 ","$7,360.49 "
375 - DIGESTIVE MALIGNANCY W CC,IL,755,"$40,131.53 ","$9,993.16 ","$7,699.37 "
375 - DIGESTIVE MALIGNANCY W CC,TX,830,"$47,398.61 ","$9,074.76 ","$6,942.40 "
375 - DIGESTIVE MALIGNANCY W CC,NY,978,"$47,896.05 ","$12,618.09 ","$10,670.05 "
375 - DIGESTIVE MALIGNANCY W CC,FL,992,"$52,264.47 ","$8,339.28 ","$6,884.87 "
375 - DIGESTIVE MALIGNANCY W CC,CA,"1,125","$69,465.43 ","$12,333.58 ","$10,093.46 "
376 - DIGESTIVE MALIGNANCY W/O CC/MCC,WV,11,"$16,983.45 ","$5,933.36 ","$4,771.91 "
376 - DIGESTIVE MALIGNANCY W/O CC/MCC,AR,13,"$15,798.46 ","$5,591.62 ","$4,468.08 "
